project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
ssh-parameter-manager,20260629_220249,0de4d93a62b29314afa8a0b3ec669d81f0eaa2d0,1748596856,feat: initial professional release v2.1.0,False,original,11,0,0,0,0,0,0.595,22.06,original,0.0,0.0,1.2028958797454834,0.0,1.2028958797454834,,,,,,,,,,,1081
ssh-parameter-manager,20260629_220249,0de4d93a62b29314afa8a0b3ec669d81f0eaa2d0,1748596856,feat: initial professional release v2.1.0,False,pymop,11,0,0,0,0,0,0.275,22.06,pymop,2.7300326824188232,0.5808253288269043,5.110605716705322,0.0,8.42146372795105,0.0,,0.0,,,,158.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=88<>Flask_NoModifyAfterServe=2<>UnsafeListIterator=11<>UnsafeDictIterator=44,1296.0,BuiltinAllAnalysis=violation=176<>ComparisonBehaviorAnalysis=eq_end=14<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=14<>NonFinitesAnalysis=non_finite_op=176<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1<>WrongTypeAddedAnalysis=check_append=177<>WrongTypeAddedAnalysis=check_insert=177<>WrongTypeAddedAnalysis=check_extend=177<>WrongTypeAddedAnalysis=check_add=177<>WrongTypeAddedAnalysis=check_add_assign=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=9<>UnsafeListIterator=createList=11<>UnsafeDictIterator=createDict=49<>UnsafeDictIterator=updateDict=1,1081
ssh-parameter-manager,20260629_220249,0de4d93a62b29314afa8a0b3ec669d81f0eaa2d0,1748596856,feat: initial professional release v2.1.0,False,pymop_libs,11,0,0,0,0,0,5.409,22.06,pymop_libs,10.15825653076172,0.5484144687652588,14.089901208877563,0.0,24.79657220840454,7.0,InvalidComparisonAnalysis=4;Flask_NoModifyAfterServe=3,4.0,InvalidComparisonAnalysis=2;Flask_NoModifyAfterServe=2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/tests/test_web_server.py:22=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266={None};Flask_NoModifyAfterServe:/tests/test_web_server.py:22={'tests/test_web_server.py::TestWebServer::test_index_route'};Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'tests/test_web_server.py::TestWebServer::test_get_customers_success'},3140.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2115<>UnsafeDictIterator=895<>ArgParse_Parent=1<>FileClosedAnalysis=88<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=2<>Flask_NoModifyAfterServe=2<>Flask_UnsafeFilePath=1,456375.0,BuiltinAllAnalysis=violation=70616<>ComparisonBehaviorAnalysis=ne_end=568<>ComparisonBehaviorAnalysis=eq_end=3377<>InPlaceSortAnalysis=list_used=7960<>InPlaceSortAnalysis=list_sorted=21<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3929<>NonFinitesAnalysis=non_finite_op=70463<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1743<>StringStripAnalysis=strip=59<>WrongTypeAddedAnalysis=check_append=71556<>WrongTypeAddedAnalysis=check_insert=71556<>WrongTypeAddedAnalysis=check_extend=71556<>WrongTypeAddedAnalysis=check_add=71556<>WrongTypeAddedAnalysis=check_add_assign=1743<>UnsafeListIterator=createList=5092<>UnsafeListIterator=createIter=56<>UnsafeListIterator=next=108<>UnsafeDictIterator=createDict=999<>UnsafeDictIterator=updateDict=3196<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=29<>Flask_NoModifyAfterServe=got_request=18<>Flask_UnsafeFilePath=got_request=8,1081
ssh-parameter-manager,20260629_220249,0de4d93a62b29314afa8a0b3ec669d81f0eaa2d0,1748596856,feat: initial professional release v2.1.0,False,dylin,11,0,0,0,0,0,4.014,22.06,dylin,10.876368045806885,0.0,5.661534070968628,0.314018964767456,16.85192108154297,0.0,,0.0,,,,,,,,1081
ssh-parameter-manager,20260629_220249,02a4f1f7fbd9bc3609d789a49dc0d9082d762603,1748604842,"refactor: standardize string quotes and improve code formatting across multiple files - Updated string quotes to be consistent, improved readability by adjusting spacing and formatting in parameter_updater.py, setup.py, ssh_manager.py, web_server.py, and test_web_server.py.",False,original,11,0,0,0,0,0,0.59,22.06,original,0.0,0.0,1.1703903675079346,0.0,1.1703903675079346,,,,,,,,,,,1214
ssh-parameter-manager,20260629_220249,02a4f1f7fbd9bc3609d789a49dc0d9082d762603,1748604842,"refactor: standardize string quotes and improve code formatting across multiple files - Updated string quotes to be consistent, improved readability by adjusting spacing and formatting in parameter_updater.py, setup.py, ssh_manager.py, web_server.py, and test_web_server.py.",False,pymop,11,0,0,0,0,0,0.264,22.06,pymop,2.7509727478027344,0.5583796501159668,5.036310911178589,0.0,8.34566330909729,0.0,,0.0,,,,160.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=88<>Flask_NoModifyAfterServe=2<>UnsafeListIterator=11<>UnsafeDictIterator=46,1296.0,BuiltinAllAnalysis=violation=176<>ComparisonBehaviorAnalysis=eq_end=14<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=14<>NonFinitesAnalysis=non_finite_op=176<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1<>WrongTypeAddedAnalysis=check_append=177<>WrongTypeAddedAnalysis=check_insert=177<>WrongTypeAddedAnalysis=check_extend=177<>WrongTypeAddedAnalysis=check_add=177<>WrongTypeAddedAnalysis=check_add_assign=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=9<>UnsafeListIterator=createList=11<>UnsafeDictIterator=createDict=49<>UnsafeDictIterator=updateDict=1,1214
ssh-parameter-manager,20260629_220249,02a4f1f7fbd9bc3609d789a49dc0d9082d762603,1748604842,"refactor: standardize string quotes and improve code formatting across multiple files - Updated string quotes to be consistent, improved readability by adjusting spacing and formatting in parameter_updater.py, setup.py, ssh_manager.py, web_server.py, and test_web_server.py.",False,pymop_libs,11,0,0,0,0,0,5.374,22.06,pymop_libs,10.32230281829834,0.6368880271911621,14.003663301467896,0.0,24.962854146957397,7.0,InvalidComparisonAnalysis=4;Flask_NoModifyAfterServe=3,4.0,InvalidComparisonAnalysis=2;Flask_NoModifyAfterServe=2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/tests/test_web_server.py:23=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266={None};Flask_NoModifyAfterServe:/tests/test_web_server.py:23={'tests/test_web_server.py::TestWebServer::test_index_route'};Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'tests/test_web_server.py::TestWebServer::test_get_customers_success'},3180.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2155<>UnsafeDictIterator=895<>ArgParse_Parent=1<>FileClosedAnalysis=88<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=2<>Flask_NoModifyAfterServe=2<>Flask_UnsafeFilePath=1,456460.0,BuiltinAllAnalysis=violation=70648<>ComparisonBehaviorAnalysis=ne_end=568<>ComparisonBehaviorAnalysis=eq_end=3349<>InPlaceSortAnalysis=list_used=7972<>InPlaceSortAnalysis=list_sorted=21<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3901<>NonFinitesAnalysis=non_finite_op=70495<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1712<>StringStripAnalysis=strip=59<>WrongTypeAddedAnalysis=check_append=71592<>WrongTypeAddedAnalysis=check_insert=71592<>WrongTypeAddedAnalysis=check_extend=71592<>WrongTypeAddedAnalysis=check_add=71592<>WrongTypeAddedAnalysis=check_add_assign=1712<>UnsafeListIterator=createList=5075<>UnsafeListIterator=createIter=56<>UnsafeListIterator=next=108<>UnsafeDictIterator=createDict=999<>UnsafeDictIterator=updateDict=3196<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=29<>Flask_NoModifyAfterServe=got_request=18<>Flask_UnsafeFilePath=got_request=8,1214
ssh-parameter-manager,20260629_220249,02a4f1f7fbd9bc3609d789a49dc0d9082d762603,1748604842,"refactor: standardize string quotes and improve code formatting across multiple files - Updated string quotes to be consistent, improved readability by adjusting spacing and formatting in parameter_updater.py, setup.py, ssh_manager.py, web_server.py, and test_web_server.py.",False,dylin,11,0,0,0,0,0,4.071,22.06,dylin,10.644095420837402,0.0,5.762505531311035,0.3434705734252929,16.75007152557373,0.0,,0.0,,,,,,,,1214
ssh-parameter-manager,20260629_220249,5d49cf8eef04fad9886e62e51f48a9fe7ba08c7c,1748617181,"✨ Add comprehensive auto-initialization testing framework with Selenium browser tests, unit tests, performance tests, GitHub Actions CI/CD integration, and detailed documentation",False,original,19,11,0,0,0,8,1.446,21.62,original,0.0,0.0,2.165846586227417,0.0,2.165846586227417,,,,,,,,,,,1956
ssh-parameter-manager,20260629_220249,5d49cf8eef04fad9886e62e51f48a9fe7ba08c7c,1748617181,"✨ Add comprehensive auto-initialization testing framework with Selenium browser tests, unit tests, performance tests, GitHub Actions CI/CD integration, and detailed documentation",False,pymop,19,11,0,0,0,8,1.024,21.62,pymop,3.4374842643737793,0.6037502288818359,6.496329069137573,0.0,10.537563562393188,8.0,FileClosedAnalysis=8,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1,FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473={'tests/test_web_server.py::TestInitialization::test_init_ssh_manager_failure'},224.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=110<>Flask_NoModifyAfterServe=2<>UnsafeListIterator=21<>Thread_StartOnce=6<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=1<>UnsafeDictIterator=69,2690.0,BuiltinAllAnalysis=violation=377<>ComparisonBehaviorAnalysis=eq_end=16<>ComparisonBehaviorAnalysis=ne_end=2<>InPlaceSortAnalysis=list_used=9<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=18<>NonFinitesAnalysis=non_finite_op=377<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1<>WrongTypeAddedAnalysis=check_append=393<>WrongTypeAddedAnalysis=check_insert=393<>WrongTypeAddedAnalysis=check_extend=393<>WrongTypeAddedAnalysis=check_add=393<>WrongTypeAddedAnalysis=check_add_assign=1<>FileClosedAnalysis=open=56<>FileClosedAnalysis=close=47<>FileClosedAnalysis=end=54<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=30<>UnsafeListIterator=createList=21<>UnsafeListIterator=updateList=16<>Thread_StartOnce=start=6<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=submit=1<>UnsafeDictIterator=createDict=79<>UnsafeDictIterator=updateDict=1,1956
